Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,Country,Season
412,Nathaniel Phillips,ENG,DF,Liverpool,25,1997,2,1,66,0.7,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
413,Jordan Pickford,ENG,GK,Everton,28,1994,37,37,3330,37.0,0,1,1,0,0,0,6,0,0.0,England Premier League,2022-2023
414,Ethan Pinnock,JAM,DF,Brentford,29,1993,30,30,2700,30.0,3,0,3,3,0,0,0,0,3.0,England Premier League,2022-2023
415,Daniel Podence,POR,"FW,MF",Wolves,26,1995,32,20,1771,19.7,6,0,6,6,0,0,5,0,3.9,England Premier League,2022-2023
416,Nick Pope,ENG,GK,Newcastle Utd,30,1992,37,37,3261,36.2,0,0,0,0,0,0,3,1,0.0,England Premier League,2022-2023
417,Pedro Porro,ESP,"DF,MF",Tottenham,22,1999,15,13,1131,12.6,3,3,6,3,0,0,0,0,1.8,England Premier League,2022-2023
418,Dennis Praet,BEL,"MF,FW",Leicester City,28,1994,22,6,649,7.2,1,0,1,1,0,0,1,0,1.0,England Premier League,2022-2023
419,Isaac Price,NIR,MF,Everton,18,2003,1,0,33,0.4,0,0,0,0,0,0,1,0,0.0,England Premier League,2022-2023
420,Christian Pulisic,USA,"FW,DF",Chelsea,23,1998,24,8,821,9.1,1,1,2,1,0,0,1,0,1.7,England Premier League,2022-2023
421,Aaron Ramsdale,ENG,GK,Arsenal,24,1998,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,England Premier League,2022-2023
422,Jacob Ramsey,ENG,"MF,FW",Aston Villa,21,2001,35,31,2636,29.3,6,7,13,6,0,0,5,0,5.0,England Premier League,2022-2023
423,Marcus Rashford,ENG,FW,Manchester Utd,24,1997,35,32,2879,32.0,17,5,22,17,0,0,2,0,15.4,England Premier League,2022-2023
424,David Raya,ESP,GK,Brentford,26,1995,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.1,England Premier League,2022-2023
425,Tim Ream,USA,DF,Fulham,34,1987,33,33,2897,32.2,1,0,1,1,0,0,2,0,0.3,England Premier League,2022-2023
426,Nathan Redmond,ENG,DF,Southampton,28,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
427,Harrison Reed,ENG,MF,Fulham,27,1995,37,35,2866,31.8,3,4,7,3,0,0,5,0,1.9,England Premier League,2022-2023
428,Bobby Reid,JAM,"FW,DF",Fulham,29,1993,36,29,2475,27.5,4,1,5,4,0,0,8,0,3.9,England Premier League,2022-2023
429,Declan Rice,ENG,MF,West Ham,23,1999,37,36,3273,36.4,4,1,5,4,0,1,5,0,2.4,England Premier League,2022-2023
430,Chris Richards,USA,DF,Crystal Palace,22,2000,9,4,447,5.0,0,0,0,0,0,0,0,0,0.7,England Premier League,2022-2023
431,Richarlison,BRA,"MF,FW",Tottenham,25,1997,27,12,1010,11.2,1,3,4,1,0,0,3,0,3.3,England Premier League,2022-2023
432,Jairo Riedewald,NED,"DF,MF",Crystal Palace,25,1996,6,0,64,0.7,0,0,0,0,0,0,0,0,0.1,England Premier League,2022-2023
433,Matt Ritchie,SCO,"FW,MF",Newcastle Utd,32,1989,7,0,39,0.4,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
434,Andrew Robertson,SCO,DF,Liverpool,28,1994,34,29,2583,28.7,0,8,8,0,0,0,3,0,1.3,England Premier League,2022-2023
435,Antonee Robinson,USA,DF,Fulham,24,1997,35,35,3088,34.3,0,1,1,0,0,0,8,0,0.1,England Premier League,2022-2023
436,Joel Robles,ESP,GK,Leeds United,32,1990,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,England Premier League,2022-2023
437,Marc Roca,ESP,MF,Leeds United,25,1996,32,29,2315,25.7,1,2,3,1,0,0,7,0,2.1,England Premier League,2022-2023
438,Marek Rodak,SVK,GK,Fulham,25,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
439,Rodri,ESP,MF,Manchester City,26,1996,36,34,2911,32.3,2,6,8,2,0,0,5,0,4.6,England Premier League,2022-2023
440,Rodrigo,ESP,"FW,MF",Leeds United,31,1991,31,23,1935,21.5,13,1,14,12,1,1,6,0,8.1,England Premier League,2022-2023
441,Mads Roerslev,DEN,DF,Brentford,23,1999,20,12,1108,12.3,0,0,0,0,0,0,0,0,0.3,England Premier League,2022-2023
442,Cristian Romero,ARG,DF,Tottenham,24,1998,27,26,2364,26.3,0,1,1,0,0,0,11,1,1.5,England Premier League,2022-2023
443,Oriol Romeu,ESP,MF,Southampton,30,1991,1,1,74,0.8,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
444,Cristiano Ronaldo,POR,FW,Manchester Utd,37,1985,10,4,525,5.8,1,0,1,1,0,0,2,0,1.9,England Premier League,2022-2023
445,Connor Ronan,IRL,MF,Wolves,24,1998,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
446,Salomon Rondon,VEN,FW,Everton,32,1989,7,1,109,1.2,0,0,0,0,0,0,0,0,0.8,England Premier League,2022-2023
447,Joe Rothwell,ENG,MF,Bournemouth,27,1995,20,12,1016,11.3,0,1,1,0,0,0,1,0,0.2,England Premier League,2022-2023
448,Georginio Rutter,FRA,"FW,MF",Leeds United,20,2002,11,1,273,3.0,0,1,1,0,0,0,0,0,0.4,England Premier League,2022-2023
449,Jose Sa,POR,GK,Wolves,29,1993,36,36,3240,36.0,0,0,0,0,0,0,2,0,0.0,England Premier League,2022-2023
450,Marcel Sabitzer,AUT,MF,Manchester Utd,28,1994,11,7,627,7.0,0,1,1,0,0,0,1,0,0.7,England Premier League,2022-2023
451,Allan Saint-Maximin,FRA,FW,Newcastle Utd,25,1997,25,12,1120,12.4,1,5,6,1,0,0,1,0,1.6,England Premier League,2022-2023
452,Bukayo Saka,ENG,FW,Arsenal,20,2001,38,37,3181,35.3,14,11,25,12,2,3,6,0,11.2,England Premier League,2022-2023
453,Mohamed Salah,EGY,FW,Liverpool,30,1992,38,37,3290,36.6,19,12,31,17,2,4,2,0,21.7,England Premier League,2022-2023
454,William Saliba,FRA,DF,Arsenal,21,2001,27,27,2415,26.8,2,1,3,2,0,0,4,0,0.9,England Premier League,2022-2023
455,Mohammed Salisu,GHA,DF,Southampton,23,1999,22,21,1973,21.9,0,1,1,0,0,0,5,0,1.5,England Premier League,2022-2023
456,Albert Sambi Lokonga,BEL,MF,Arsenal,22,1999,6,2,198,2.2,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
457,Albert Sambi Lokonga,BEL,MF,Crystal Palace,22,1999,9,6,536,6.0,0,0,0,0,0,0,2,0,0.2,England Premier League,2022-2023
458,Davinson Sanchez,COL,DF,Tottenham,26,1996,18,8,858,9.5,0,0,0,0,0,0,1,0,0.6,England Premier League,2022-2023
459,Robert Sanchez,ESP,GK,Brighton,24,1997,23,23,2070,23.0,0,0,0,0,0,0,2,0,0.0,England Premier League,2022-2023
460,Jadon Sancho,ENG,"FW,MF",Manchester Utd,22,2000,26,21,1686,18.7,6,3,9,6,0,0,0,0,4.2,England Premier League,2022-2023
461,Morgan Sanson,FRA,MF,Aston Villa,27,1994,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
462,Pablo Sarabia,ESP,"FW,MF",Wolves,30,1992,13,9,765,8.5,1,0,1,1,0,0,3,0,3.1,England Premier League,2022-2023
463,Jeremy Sarmiento,ECU,MF,Brighton,20,2002,9,1,176,2.0,0,1,1,0,0,0,1,0,0.3,England Premier League,2022-2023
464,Gianluca Scamacca,ITA,FW,West Ham,23,1999,16,11,926,10.3,3,0,3,3,0,0,3,0,2.5,England Premier League,2022-2023
465,Gustavo Scarpa,BRA,"MF,FW",Nott'ham Forest,28,1994,6,2,181,2.0,0,0,0,0,0,0,1,0,0.3,England Premier League,2022-2023
466,Kevin Schade,GER,FW,Brentford,20,2001,18,7,732,8.1,0,1,1,0,0,0,2,0,2.1,England Premier League,2022-2023
467,Fabian Schar,SUI,DF,Newcastle Utd,30,1991,36,36,3206,35.6,1,3,4,1,0,0,7,0,4.9,England Premier League,2022-2023
468,Jeffrey Schlupp,GHA,"MF,FW",Crystal Palace,29,1992,34,30,2531,28.1,3,1,4,3,0,0,7,0,3.2,England Premier League,2022-2023
469,Nelson Semedo,POR,DF,Wolves,28,1993,36,31,2632,29.2,0,1,1,0,0,0,11,1,0.4,England Premier League,2022-2023
470,Antoine Semenyo,GHA,"FW,MF",Bournemouth,22,2000,11,2,258,2.9,1,0,1,1,0,0,0,0,0.3,England Premier League,2022-2023
